OrderID,CustomerID,Date,TotalAmount,Finalized,Items
1001,101,2026-01-01,1500.00,true,1:1
1002,101,2026-01-05,145.50,1,2:1;3:1
1003,102,2026-01-10,340.00,yes,7:1
1004,103,2026-01-12,45.00,true,5:1
1005,103,2026-01-15,30.00,true,6:1
1006,104,2026-01-18,57.00,1,9:1;
1007,104,2026-01-20,237.50,yes,10:1
1008,104,2026-01-22,332.50,true,11:1
1009,106,2026-01-25,450.00,true,12:1
1010,107,2026-01-28,40.00,1,13:2
1011,108,2026-02-01,75.00,true,14:3
1012,109,2026-02-02,160.00,yes,15:2
1013,109,2026-02-05,48.00,true,16:1
1014,110,2026-02-08,1600.00,true,17:1
1015,111,2026-02-10,440.00,1,18:1
1016,112,2026-02-12,250.00,true,19:1
1017,113,2026-02-15,260.00,yes,20:2
1018,113,2026-02-18,100.00,true,21:1
1019,114,2026-02-20,12.75,true,22:1
1020,115,2026-02-22,20.00,1,23:2;
1021,116,2026-02-25,165.60,true,24:1
1022,116,2026-02-28,46.00,yes,25:2
1023,117,2026-03-01,120.00,true,26:1
1024,118,2026-03-03,160.00,true,27:2
1025,119,2026-03-05,270.00,1,28:1
1026,120,2026-03-08,90.00,true,29:2
1027,120,2026-03-10,150.00,yes,30:1
1028,121,2026-03-12,135.00,true,31:1
1029,122,2026-03-15,105.00,true,32:1
1030,-1,2026-03-18,160.00,1,33:2
1031,123,2026-03-20,50.00,true,34:1
1032,124,2026-03-22,50.00,yes,35:2
1033,125,2026-03-25,29.75,true,36:1
1034,125,2026-03-28,25.50,true,37:2
1035,126,2026-04-01,64.00,1,38:1
1036,127,2026-04-05,50.00,true,39:2;
1037,128,2026-04-08,20.00,yes,40:1
1038,129,2026-04-10,27.00,true,41:2
1039,130,2026-04-12,18.00,true,42:2
1040,130,2026-04-15,7.50,1,43:1
1041,130,2026-04-18,12.00,true,44:2
1042,132,2026-04-20,10.00,yes,45:2
1043,-1,2026-04-22,25.00,true,-1:1
1044,134,2026-04-25,11.40,true,47:1
1045,136,2026-04-28,12.75,1,48:1
1046,137,2026-05-01,40.00,true,49:1
1047,138,2026-05-05,400.00,yes,50:1
1048,139,2026-05-08,0.00,false,1:1;2:1
1049,140,,0.00,false,3:2
1050,141,2026-05-15,0.00,false,4:1;5:2;6:1
